date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:43:24	1206/1206	---MCZ	200	added ('OK')	text/css	etag:W/%224b6-6994a31e-8e5fa6;br%22	https://hi.inviee.id/wp-content/plugins/jetformbuilder/modules/option-field/assets/build/radio.css?ver=7c6d0d4d7df91e6bd6a4	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/jetformbuilder/modules/option-field/assets/build/radioffac.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:24	5106/5106	---MCZ	200	added ('OK')	text/css	etag:W/%2213f2-6994a31e-8e29a6;br%22	https://hi.inviee.id/wp-content/plugins/jetformbuilder/modules/advanced-choices/assets/build/main.css?ver=ca05550a7cac3b9b55a3	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/jetformbuilder/modules/advanced-choices/assets/build/main7f2b.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:24	9081/9081	---MCZ	200	added ('OK')	text/css	etag:W/%222379-697af07d-8e3742;br%22	https://hi.inviee.id/wp-content/plugins/jetformbuilder/modules/wysiwyg/assets/build/wysiwyg.css?ver=5a4d16fb6d7a94700261	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/jetformbuilder/modules/wysiwyg/assets/build/wysiwyg2275.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:24	1803/1803	---MCZ	200	added ('OK')	text/css	etag:W/%2270b-697af07d-8e1cd6;br%22	https://hi.inviee.id/wp-content/plugins/jetformbuilder/modules/switcher/assets/build/switcher.css?ver=06c887a8b9195e5a119d	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/jetformbuilder/modules/switcher/assets/build/switcher720a.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:24	54511/54511	---MCZ	200	added ('OK')	text/css	etag:W/%22d4ef-697d959c-8dd755;br%22	https://hi.inviee.id/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.34.4	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor/assets/css/frontend.minfa8f.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:25	214/214	---MCZ	200	added ('OK')	text/css	etag:%22d6-697d959c-8dd7df;gz%22	https://hi.inviee.id/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.34.4	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor/assets/css/widget-image.minfa8f.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:25	560/560	---MCZ	200	added ('OK')	text/css	etag:W/%22230-697d959c-8dd7d3;br%22	https://hi.inviee.id/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.34.4	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor/assets/css/widget-heading.minfa8f.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:25	4258/4258	---MCZ	200	added ('OK')	text/css	etag:W/%2210a2-697d959c-8dd7c5;br%22	https://hi.inviee.id/wp-content/plugins/elementor/assets/css/widget-divider.min.css?ver=3.34.4	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor/assets/css/widget-divider.minfa8f.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:25	1793/1793	---MCZ	200	added ('OK')	text/css	etag:W/%22701-697d959c-8dd7fd;br%22	https://hi.inviee.id/wp-content/plugins/elementor/assets/css/widget-spacer.min.css?ver=3.34.4	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor/assets/css/widget-spacer.minfa8f.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:26	106/106	---MCZ	200	added ('OK')	text/css	etag:W/%226a-697d959c-8e3824;;;%22	https://hi.inviee.id/wp-content/plugins/elementor/assets/lib/animations/styles/zoomIn.min.css?ver=3.34.4	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor/assets/lib/animations/styles/zoomIn.minfa8f.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
19:43:26	137/137	---MCZ	200	added ('OK')	text/css	etag:W/%2289-697d959c-8e37ef;;;%22	https://hi.inviee.id/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInDown.min.css?ver=3.34.4	D:/Project%20Web/HttRack/Chyntia/hi.inviee.id/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInDown.minfa8f.css	(from https://undig.unweb.id/pink-castle/?to=Nama+Tamu)
